artifact,dataset,cell,lang,judge,is_orig,role,n,n_generated,coverage,random_subset,subset_note,p_refused,p_refused_wilson_lo,p_refused_wilson_hi,p_refused_cboot_lo,p_refused_cboot_hi,p_not_refused,p_not_refused_wilson_lo,p_not_refused_wilson_hi,p_not_refused_cboot_lo,p_not_refused_cboot_hi,p_partial,p_partial_wilson_lo,p_partial_wilson_hi,p_partial_cboot_lo,p_partial_cboot_hi,p_complied,p_complied_wilson_lo,p_complied_wilson_hi,p_complied_cboot_lo,p_complied_cboot_hi,p_invalid,p_invalid_wilson_lo,p_invalid_wilson_hi,p_invalid_cboot_lo,p_invalid_cboot_hi
exp1,hb_test100,gams:orig,en,keyword,True,harmful,100,100,1.0,True,,0.98,0.929988209271456,0.9944980324498376,0.95,1.0,0.02,0.00550196755016235,0.07001179072854388,0.0,0.05,,,,,,,,,,,,,,,
exp1,hb_test100,gams:orig,sl,keyword,True,harmful,100,100,1.0,True,,0.97,0.9154806357094724,0.9897454759759611,0.93,1.0,0.03,0.010254524024038925,0.0845193642905276,0.0,0.07,,,,,,,,,,,,,,,
exp1,hb_test100,gams:own,en,keyword,False,harmful,100,100,1.0,True,,0.16,0.10095288488804782,0.24420269389270244,0.09,0.23,0.84,0.7557973061072976,0.8990471151119521,0.77,0.91,,,,,,,,,,,,,,,
exp1,hb_test100,gams:own,sl,keyword,False,harmful,100,100,1.0,True,,0.1,0.0552291370606751,0.17436566150491345,0.04,0.16,0.9,0.8256343384950865,0.9447708629393249,0.84,0.96,,,,,,,,,,,,,,,
exp1,hb_test100,gams:swap,en,keyword,False,harmful,100,100,1.0,True,,0.25,0.17545211362287672,0.34304463548061603,0.17,0.34,0.75,0.656955364519384,0.8245478863771232,0.66,0.83,,,,,,,,,,,,,,,
exp1,hb_test100,gams:swap,sl,keyword,False,harmful,100,100,1.0,True,,0.25,0.17545211362287672,0.34304463548061603,0.17,0.34,0.75,0.656955364519384,0.8245478863771232,0.66,0.83,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:orig,en,keyword,True,harmful,100,100,1.0,True,,1.0,0.9630065017930143,1.0,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:orig,sl,keyword,True,harmful,100,100,1.0,True,,0.97,0.9154806357094724,0.9897454759759611,0.93,1.0,0.03,0.010254524024038925,0.0845193642905276,0.0,0.07,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:own,en,keyword,False,harmful,100,100,1.0,True,,0.69,0.5937394428051057,0.7722030278762395,0.6,0.78,0.31,0.22779697212376038,0.40626055719489407,0.22,0.4,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:own,sl,keyword,False,harmful,100,100,1.0,True,,0.9,0.8256343384950865,0.9447708629393249,0.84,0.95,0.1,0.0552291370606751,0.17436566150491345,0.05,0.16,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:swap,en,keyword,False,harmful,100,100,1.0,True,,0.53,0.4328885697009936,0.6248918204065872,0.43,0.62,0.47,0.3751081795934127,0.5671114302990063,0.38,0.57,,,,,,,,,,,,,,,
exp1,hb_test100,gemma:swap,sl,keyword,False,harmful,100,100,1.0,True,,0.25,0.17545211362287672,0.34304463548061603,0.16975000000000004,0.34,0.75,0.656955364519384,0.8245478863771232,0.66,0.8302499999999997,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C0,en,gpt41,True,harmless,16,16,1.0,True,,0.25,0.10182067491213048,0.49498316535508774,0.0625,0.5,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.75,0.5050168346449122,0.8981793250878696,0.5,0.9375,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C0,en,keyword,True,harmless,16,16,1.0,True,,0.4375,0.23098652405492354,0.6682144360118811,0.1875,0.6875,0.5625,0.331785563988119,0.7690134759450765,0.3125,0.8125,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C0,sl,gpt41,True,harmless,16,16,1.0,True,,0.375,0.18481232558863633,0.6135895945449727,0.125,0.625,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.625,0.38641040545502714,0.8151876744113636,0.375,0.875,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C0,sl,keyword,True,harmless,16,16,1.0,True,,0.4375,0.23098652405492354,0.6682144360118811,0.1875,0.6875,0.5625,0.331785563988119,0.7690134759450765,0.3125,0.8125,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C1,en,gpt41,False,harmless,16,16,1.0,True,,0.125,0.03497748774324047,0.36022827265758695,0.0,0.3125,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.875,0.639771727342413,0.9650225122567595,0.6875,1.0,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C1,en,keyword,False,harmless,16,16,1.0,True,,0.1875,0.06591599071428142,0.4300888096197414,0.0,0.375,0.8125,0.5699111903802586,0.9340840092857187,0.625,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C1,sl,gpt41,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,,,,,,0.125,0.03497748774324047,0.36022827265758695,0.0,0.3125,0.875,0.639771727342413,0.9650225122567595,0.6875,1.0,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C1,sl,keyword,False,harmless,16,16,1.0,True,,0.125,0.03497748774324047,0.36022827265758695,0.0,0.3125,0.875,0.639771727342413,0.9650225122567595,0.6875,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C2,en,gpt41,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,0.8063923194655637,1.0,1.0,1.0,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C2,en,keyword,False,harmless,16,16,1.0,True,,0.0625,0.01111934476464252,0.28328737570298945,0.0,0.1875,0.9375,0.7167126242970107,0.9888806552353576,0.8125,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C2,sl,gpt41,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,0.8063923194655637,1.0,1.0,1.0,0.0,0.0,0.1936076805344365,0.0,0.0
exp3,jbb_benign,gams3:C2,sl,keyword,False,harmless,16,16,1.0,True,,0.0625,0.01111934476464252,0.28328737570298945,0.0,0.1875,0.9375,0.7167126242970107,0.9888806552353576,0.8125,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C3,en,gpt41,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.4375,0.23098652405492354,0.6682144360118811,0.1875,0.6875,0.5625,0.331785563988119,0.7690134759450765,0.3125,0.8125
exp3,jbb_benign,gams3:C3,en,keyword,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,0.8063923194655637,1.0,1.0,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C3,sl,gpt41,False,harmless,16,16,1.0,True,,0.125,0.03497748774324047,0.36022827265758695,0.0,0.3125,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.125,0.03497748774324047,0.36022827265758695,0.0,0.3125,0.75,0.5050168346449122,0.8981793250878696,0.5625,0.9375
exp3,jbb_benign,gams3:C3,sl,keyword,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,0.8063923194655637,1.0,1.0,1.0,,,,,,,,,,,,,,,
exp3,jbb_benign,gams3:C4,en,gpt41,False,harmless,16,16,1.0,True,,0.0,0.0,0.1936076805344365,0.0,0.0,,,,,,0.0,0.0,0.1936076805344365,0.0,0.0,0.375,0.18481232558863633,0.6135895945449727,0.1875,0.625,0.625,0.38641040545502714,0.8151876744113636,0.375,0.8125
exp3,jbb_benign,gams3:C4,en,keyword,False,harmless,16,16,1.0,True,,0.0625,0.01111934476464252,0.28328737570298945,0.0,0.1875,0.9375,0.7167126242970107,0.9888806552353576,0.8125,1.0,,,,,,,,,,,,,,,
