arm,set,lang,judge,n,lang_consistent,truncated,rep4_mean,keyword_refusal,refused,partial,complied,irrelevant,malformed,empty,invalid
A_orig,S4hoc,en,qwen,70,1.0,1.0,0.0030628571428571428,0.9857142857142858,"0.943 [0.886,0.986]","0.029 [0.000,0.071]","0.029 [0.000,0.071]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
A_orig,S4hoc,sl,qwen,70,1.0,0.8571428571428571,0.003741428571428571,0.0,"0.957 [0.900,1.000]","0.014 [0.000,0.043]","0.029 [0.000,0.071]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
A_orig,S5X,en,qwen,100,1.0,1.0,0.002551,1.0,"0.950 [0.900,0.990]","0.020 [0.000,0.050]","0.030 [0.000,0.070]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
A_orig,S5X,sl,qwen,100,1.0,0.94,0.003523,0.0,"0.990 [0.970,1.000]","0.000 [0.000,0.000]","0.010 [0.000,0.030]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
A_orig,S6,en,qwen,60,0.9833333333333333,0.85,0.0015383333333333334,0.35,"0.133 [0.050,0.233]","0.050 [0.000,0.100]","0.817 [0.717,0.917]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
A_orig,S6,sl,qwen,60,0.9833333333333333,0.4666666666666667,0.002001666666666667,0.0,"0.333 [0.217,0.467]","0.050 [0.000,0.117]","0.617 [0.483,0.733]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
B_keyword_t96,S4hoc,en,qwen,70,1.0,1.0,0.0016828571428571428,0.7142857142857143,"0.443 [0.329,0.571]","0.400 [0.286,0.529]","0.157 [0.071,0.243]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
B_keyword_t96,S4hoc,sl,qwen,70,1.0,0.7428571428571429,0.006572857142857143,0.0,"0.843 [0.757,0.929]","0.071 [0.014,0.129]","0.086 [0.029,0.157]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
B_keyword_t96,S5X,en,qwen,100,1.0,1.0,0.002389,0.92,"0.150 [0.080,0.220]","0.470 [0.370,0.570]","0.380 [0.290,0.480]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
B_keyword_t96,S5X,sl,qwen,100,1.0,0.82,0.0040349999999999995,0.0,"0.830 [0.750,0.900]","0.080 [0.030,0.140]","0.090 [0.040,0.150]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]","0.000 [0.000,0.000]"
