number,corrected_refusals,kl,p.direction_scope,p.direction_index,p.attn.o_proj.max_weight,p.attn.o_proj.max_weight_position,p.attn.o_proj.min_weight,p.attn.o_proj.min_weight_distance,p.mlp.down_proj.max_weight,p.mlp.down_proj.max_weight_position,p.mlp.down_proj.min_weight,p.mlp.down_proj.min_weight_distance,direction_index_eff,abl_params,duration_s
0,94,0.004301526118069887,global,35.28625933815789,1.335652908640471,37.69651585109827,0.7109502662442033,9.111903269991311,0.7424929048243758,28.434746118394052,0.07349923770273847,3.964808604651576,35.28625933815789,"{""attn.o_proj"": {""max_weight"": 1.335652908640471, ""max_weight_position"": 37.69651585109827, ""min_weight"": 0.9495827910077874, ""min_weight_distance"": 9.111903269991311}, ""mlp.down_proj"": {""max_weight"": 0.7424929048243758, ""max_weight_position"": 28.434746118394052, ""min_weight"": 0.054572662504283574, ""min_weight_distance"": 3.964808604651576}}",13.874536
1,70,0.007675524801015854,per layer,28.453405052387367,1.1354815621704315,34.62115535320629,0.764242165311383,16.41921946254915,0.3653741755405121,45.03475834526613,0.09070927458977673,12.902326746679812,,"{""attn.o_proj"": {""max_weight"": 1.1354815621704315, ""max_weight_position"": 34.62115535320629, ""min_weight"": 0.8677828877442824, ""min_weight_distance"": 16.41921946254915}, ""mlp.down_proj"": {""max_weight"": 0.3653741755405121, ""max_weight_position"": 45.03475834526613, ""min_weight"": 0.0331428264171176, ""min_weight_distance"": 12.902326746679812}}",13.921311
2,39,0.04679075628519058,per layer,34.71555615856434,1.4775578331732049,34.884543380195495,0.6969754975189398,24.37281080763281,0.006565274291605916,39.729108589729364,0.844673207795607,27.95498704977974,,"{""attn.o_proj"": {""max_weight"": 1.4775578331732049, ""max_weight_position"": 34.884543380195495, ""min_weight"": 1.0298216058889011, ""min_weight_distance"": 24.37281080763281}, ""mlp.down_proj"": {""max_weight"": 0.006565274291605916, ""max_weight_position"": 39.729108589729364, ""min_weight"": 0.0055455112959488, ""min_weight_distance"": 27.95498704977974}}",14.788974
3,97,0.006007713731378317,global,26.71310013858545,1.0453603630149255,43.08811714273638,0.025295045763543023,7.208090165205651,0.4420294874368681,45.939562830681275,0.8599730716237928,25.95947442584456,26.71310013858545,"{""attn.o_proj"": {""max_weight"": 1.0453603630149255, ""max_weight_position"": 43.08811714273638, ""min_weight"": 0.026442438221856487, ""min_weight_distance"": 7.208090165205651}, ""mlp.down_proj"": {""max_weight"": 0.4420294874368681, ""max_weight_position"": 45.939562830681275, ""min_weight"": 0.38013345605937415, ""min_weight_distance"": 25.95947442584456}}",13.971455
4,63,0.026792636141180992,per layer,23.64189846648339,1.1596435395178182,37.001544310281716,0.5936196427925672,24.971202538573625,0.7501686670348249,31.002229609718214,0.8836282415397444,5.157938515594083,,"{""attn.o_proj"": {""max_weight"": 1.1596435395178182, ""max_weight_position"": 37.001544310281716, ""min_weight"": 0.6883871836952755, ""min_weight_distance"": 24.971202538573625}, ""mlp.down_proj"": {""max_weight"": 0.7501686670348249, ""max_weight_position"": 31.002229609718214, ""min_weight"": 0.6628702201101964, ""min_weight_distance"": 5.157938515594083}}",13.490873
5,92,0.0017074856441468,per layer,18.863406288820105,1.4601656453219194,33.82298020957671,0.4071242335307148,8.121191221355227,-0.19971559904867744,38.52685927279809,0.6640400492774723,9.86309545749661,,"{""attn.o_proj"": {""max_weight"": 1.4601656453219194, ""max_weight_position"": 33.82298020957671, ""min_weight"": 0.594468819179568, ""min_weight_distance"": 8.121191221355227}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 38.52685927279809, ""min_weight"": 0.0, ""min_weight_distance"": 9.86309545749661}}",13.000952
6,65,0.015053139068186283,global,29.901351072329795,1.2832623221092714,34.28813205531377,0.6920298921817408,19.32885295222423,0.5596493700635686,28.40787547445878,0.7604160891076248,26.952401878822062,29.901351072329795,"{""attn.o_proj"": {""max_weight"": 1.2832623221092714, ""max_weight_position"": 34.28813205531377, ""min_weight"": 0.8880558864101694, ""min_weight_distance"": 19.32885295222423}, ""mlp.down_proj"": {""max_weight"": 0.5596493700635686, ""max_weight_position"": 28.40787547445878, ""min_weight"": 0.4255663852552847, ""min_weight_distance"": 26.952401878822062}}",14.218694
7,5,0.25837069749832153,per layer,20.998510387591697,1.3058603245031022,29.356814435097565,0.4259316201493918,18.9284332033305,1.2306890494321627,31.39010548214005,0.4726418364688967,16.34098984990031,,"{""attn.o_proj"": {""max_weight"": 1.3058603245031022, ""max_weight_position"": 29.356814435097565, ""min_weight"": 0.5562072037044168, ""min_weight_distance"": 18.9284332033305}, ""mlp.down_proj"": {""max_weight"": 1.2306890494321627, ""max_weight_position"": 31.39010548214005, ""min_weight"": 0.5816751324457782, ""min_weight_distance"": 16.34098984990031}}",14.009751
8,95,0.002589859301224351,per layer,30.39539790086107,1.0409743294973834,43.93091813775781,0.8389928586602876,1.2604236952408097,1.0276447640986017,44.8299102869405,0.3670353389460309,10.863314402762901,,"{""attn.o_proj"": {""max_weight"": 1.0409743294973834, ""max_weight_position"": 43.93091813775781, ""min_weight"": 0.8733700284969859, ""min_weight_distance"": 1.2604236952408097}, ""mlp.down_proj"": {""max_weight"": 1.0276447640986017, ""max_weight_position"": 44.8299102869405, ""min_weight"": 0.37718194430704427, ""min_weight_distance"": 10.863314402762901}}",13.0782
9,96,0.002927611581981182,per layer,26.039046006841954,0.974699802673833,32.78000784494932,0.07874977488223855,3.9242191064593097,0.4307450670267685,39.25037951458715,0.48952950933232975,11.632205261315393,,"{""attn.o_proj"": {""max_weight"": 0.974699802673833, ""max_weight_position"": 32.78000784494932, ""min_weight"": 0.0767573900383267, ""min_weight_distance"": 3.9242191064593097}, ""mlp.down_proj"": {""max_weight"": 0.4307450670267685, ""max_weight_position"": 39.25037951458715, ""min_weight"": 0.21086242130893548, ""min_weight_distance"": 11.632205261315393}}",13.311543
