gid,lang,kl32,first_token_kl,top1_agree
gemma_orig|S5:772:en,en,0.13506962358951569,1.547191641293466e-05,0.84375
gemma_orig|S5X:772:en->sl,sl,0.09014937281608582,0.1223873570561409,0.90625
gemma_orig|S5:1375:en,en,0.11837774515151978,4.532171078608371e-05,0.875
gemma_orig|S5X:1375:en->sl,sl,0.049194082617759705,0.0011649788357317448,0.96875
gemma_orig|S5:1124:en,en,0.10829579830169678,1.1762685936389516e-08,0.90625
gemma_orig|S5X:1124:en->sl,sl,0.08374634385108948,0.04280349984765053,0.875
gemma_orig|S5:1220:en,en,0.14946335554122925,4.1271022155342507e-07,0.875
gemma_orig|S5X:1220:en->sl,sl,0.1079348772764206,0.025839511305093765,0.90625
gemma_orig|S5X:1086:sl->en,en,0.11487710475921631,1.0283267215527303e-07,0.9375
gemma_orig|S5:1086:sl,sl,0.05302874371409416,0.17425113916397095,0.90625
gemma_orig|S5:768:en,en,0.1062573790550232,1.243743554368848e-05,0.875
gemma_orig|S5X:768:en->sl,sl,0.0684683695435524,0.0043227155692875385,0.9375
gemma_orig|S5X:1008:sl->en,en,0.04412417858839035,1.0917733561655041e-07,0.9375
gemma_orig|S5:1008:sl,sl,0.04772020876407623,0.2281094640493393,1.0
gemma_orig|S5:1197:en,en,0.11881911754608154,1.4554274230249575e-08,0.9375
gemma_orig|S5X:1197:en->sl,sl,0.05403175950050354,0.031556542962789536,0.96875
gemma_orig|S5:1287:en,en,0.23493582010269165,1.0758987478709514e-08,0.84375
gemma_orig|S5X:1287:en->sl,sl,0.045355405658483505,0.09090299904346466,0.875
gemma_orig|S5X:129:sl->en,en,0.0538305826485157,2.459727852510696e-07,0.9375
gemma_orig|S5:129:sl,sl,0.07542511820793152,0.3331754803657532,0.9375
gemma_orig|S5:20:en,en,0.0593058243393898,3.528180414491544e-08,0.96875
gemma_orig|S5X:20:en->sl,sl,0.06290188431739807,0.2790204584598541,0.90625
gemma_orig|S5X:1325:sl->en,en,0.053732361644506454,1.5393577257327706e-07,0.9375
gemma_orig|S5:1325:sl,sl,0.08969574421644211,0.0957842469215393,0.96875
gemma_orig|S5:834:en,en,0.22751975059509277,8.08022893039606e-09,0.8125
gemma_orig|S5X:834:en->sl,sl,0.05212610960006714,0.293791800737381,0.90625
gemma_orig|S5:420:en,en,0.11858341842889786,4.754625138048141e-08,0.90625
gemma_orig|S5X:420:en->sl,sl,0.0844399631023407,0.046356070786714554,0.8125
gemma_orig|S5:473:en,en,0.039040159434080124,1.4582751362013369e-07,0.9375
gemma_orig|S5X:473:en->sl,sl,0.07369054108858109,0.021705152466893196,0.875
gemma_orig|S5:369:en,en,0.07107585668563843,0.008156034164130688,0.96875
gemma_orig|S5X:369:en->sl,sl,0.05094611644744873,0.032330676913261414,0.90625
gemma_orig|S5X:730:sl->en,en,0.14993588626384735,-1.5281413467960192e-08,0.875
gemma_orig|S5:730:sl,sl,0.08087459206581116,0.04176438972353935,0.96875
gemma_orig|S5X:1189:sl->en,en,0.12340814620256424,2.8279936259423266e-07,0.9375
gemma_orig|S5:1189:sl,sl,0.04416025057435036,0.006075833458453417,0.96875
gemma_orig|S5:633:en,en,0.09706814587116241,5.9978378885716666e-06,0.9375
gemma_orig|S5X:633:en->sl,sl,0.0549110546708107,0.013805000111460686,0.90625
gemma_orig|S5:972:en,en,0.028436198830604553,-3.2328636989653603e-10,0.96875
gemma_orig|S5X:972:en->sl,sl,0.06309672445058823,0.01483197882771492,0.9375
