gid,lang,kl32,first_token_kl,top1_agree
gemma_orig|S5:772:en,en,0.19566123187541962,0.002607441507279873,0.84375
gemma_orig|S5X:772:en->sl,sl,0.07928375899791718,0.0005299136391840875,0.90625
gemma_orig|S5:1375:en,en,0.1544090360403061,0.0025815751869231462,0.9375
gemma_orig|S5X:1375:en->sl,sl,0.06754808872938156,9.797891834750772e-06,0.96875
gemma_orig|S5:1124:en,en,0.1342620551586151,0.00020010190200991929,0.875
gemma_orig|S5X:1124:en->sl,sl,0.09788495302200317,3.1878378649707884e-05,0.90625
gemma_orig|S5:1220:en,en,0.22602219879627228,7.123762316041393e-06,0.84375
gemma_orig|S5X:1220:en->sl,sl,0.11718911677598953,0.00018234453455079347,0.90625
gemma_orig|S5X:1086:sl->en,en,0.10623391717672348,0.6797085404396057,0.90625
gemma_orig|S5:1086:sl,sl,0.04269086569547653,0.0024881334975361824,0.96875
gemma_orig|S5:768:en,en,0.10500180721282959,0.05483807995915413,0.9375
gemma_orig|S5X:768:en->sl,sl,0.09217189252376556,0.0003307341248728335,0.90625
gemma_orig|S5X:1008:sl->en,en,0.09867702424526215,4.30621366831474e-05,0.9375
gemma_orig|S5:1008:sl,sl,0.10001461207866669,9.661059448262677e-05,0.90625
gemma_orig|S5:1197:en,en,0.16001299023628235,2.8325000585027738e-06,0.90625
gemma_orig|S5X:1197:en->sl,sl,0.09982024878263474,1.7943200873560272e-05,0.90625
gemma_orig|S5:1287:en,en,0.259197860956192,0.0006585720111615956,0.84375
gemma_orig|S5X:1287:en->sl,sl,0.1250072568655014,9.894499089568853e-05,0.9375
gemma_orig|S5X:129:sl->en,en,0.1835743486881256,1.5392268896102905,0.9375
gemma_orig|S5:129:sl,sl,0.08282390236854553,0.00012854242231696844,0.9375
gemma_orig|S5:20:en,en,0.07413265109062195,0.3171803653240204,0.9375
gemma_orig|S5X:20:en->sl,sl,0.07214611768722534,0.0010159522062167525,0.9375
gemma_orig|S5X:1325:sl->en,en,0.07807143032550812,0.004998650401830673,0.9375
gemma_orig|S5:1325:sl,sl,0.056859806180000305,0.004291124641895294,0.96875
gemma_orig|S5:834:en,en,0.16543981432914734,0.029827309772372246,0.84375
gemma_orig|S5X:834:en->sl,sl,0.10857567936182022,0.0029252308886498213,0.90625
gemma_orig|S5:420:en,en,0.09912218153476715,0.00042813384789042175,1.0
gemma_orig|S5X:420:en->sl,sl,0.07196654379367828,5.926998346694745e-05,1.0
gemma_orig|S5:473:en,en,0.13435545563697815,0.002337294165045023,0.84375
gemma_orig|S5X:473:en->sl,sl,0.06805402040481567,0.0002707516250666231,0.9375
gemma_orig|S5:369:en,en,0.07535620778799057,5.158290878171101e-05,1.0
gemma_orig|S5X:369:en->sl,sl,0.07470548152923584,1.1075245311076287e-05,0.90625
gemma_orig|S5X:730:sl->en,en,0.302276074886322,0.008346721529960632,0.78125
gemma_orig|S5:730:sl,sl,0.11595311015844345,1.7875914636533707e-05,0.90625
gemma_orig|S5X:1189:sl->en,en,0.06390862166881561,0.00012246430560480803,0.96875
gemma_orig|S5:1189:sl,sl,0.033881776034832,0.00032347283558920026,0.9375
gemma_orig|S5:633:en,en,0.12804283201694489,0.07405571639537811,0.84375
gemma_orig|S5X:633:en->sl,sl,0.06155959889292717,0.00019508053082972765,0.875
gemma_orig|S5:972:en,en,0.04883978143334389,0.002174612833186984,0.9375
gemma_orig|S5X:972:en->sl,sl,0.1271078884601593,5.485733709065244e-06,0.90625
