layer,component,rel_frobenius_err,kernel_weight,g_bf16,g_nf4,g_rel_diff,proj_row_cos,proj_row_angle_deg
0,attn.o_proj,0.0925620049238205,0.0,0.0,0.0,,0.9965051412582397,4.791582916936453
0,mlp.down_proj,0.09365580230951309,0.0,0.0,0.0,,0.9954801201820374,5.449602047802275
1,attn.o_proj,0.09220176190137863,0.0,0.0,0.0,,0.9954646825790405,5.458907678986662
1,mlp.down_proj,0.09388305246829987,0.0,0.0,0.0,,0.9950715899467468,5.690750878801315
2,attn.o_proj,0.09266597032546997,0.0,0.0,0.0,,0.9962459802627563,4.96617320296282
2,mlp.down_proj,0.09361273795366287,0.0,0.0,0.0,,0.9953541159629822,5.525099410872259
3,attn.o_proj,0.09326174855232239,0.0,0.0,0.0,,0.9957457780838013,5.286908402700768
3,mlp.down_proj,0.0931459590792656,0.0,0.0,0.0,,0.9954493045806885,5.468161684125094
4,attn.o_proj,0.09278217703104019,0.0,0.0,0.0,,0.9949920177459717,5.736545365885528
4,mlp.down_proj,0.0936444103717804,0.0,0.0,0.0,,0.9955114722251892,5.430654425786779
5,attn.o_proj,0.09289360046386719,0.0,0.0,0.0,,0.995699942111969,5.315333619695272
5,mlp.down_proj,0.093461774289608,0.0,0.0,0.0,,0.996188223361969,5.004254651606214
6,attn.o_proj,0.09303310513496399,0.0,0.0,0.0,,0.9957717657089233,5.270724252665071
6,mlp.down_proj,0.09387317299842834,0.0,0.0,0.0,,0.9954837560653687,5.447408068165148
7,attn.o_proj,0.09398054331541061,0.0,0.0,0.0,,0.9959574937820435,5.153584369185869
7,mlp.down_proj,0.09375491738319397,0.0,0.0,0.0,,0.9956104159355164,5.370420696641138
8,attn.o_proj,0.093134805560112,0.0,0.0,0.0,,0.9958080649375916,5.248035103553422
8,mlp.down_proj,0.09383808076381683,0.0,0.0,0.0,,0.9954267144203186,5.481727501624749
9,attn.o_proj,0.09269220381975174,0.0,0.0,0.0,,0.9960039854049683,5.123843893738732
9,mlp.down_proj,0.09432598948478699,0.0,0.0,0.0,,0.9959396123886108,5.164977537342807
10,attn.o_proj,0.09317830950021744,0.0,0.0,0.0,,0.9959134459495544,5.181604512014925
10,mlp.down_proj,0.09409620612859726,0.0,0.0,0.0,,0.9957291483879089,5.297238903418773
11,attn.o_proj,0.0931377038359642,0.0,0.0,0.0,,0.9958586096763611,5.216277752139488
11,mlp.down_proj,0.09420521557331085,0.047391391366862656,0.0013806598726660013,0.0013760423753410578,-0.0033444133608571762,0.995799720287323,5.253259650018509
12,attn.o_proj,0.0929577425122261,0.8326070316923155,0.21460482478141785,0.2138315886259079,-0.0036030697646127737,0.9958699941635132,5.2090982176181235
12,mlp.down_proj,0.09429235756397247,0.09789571245715645,0.009285714477300644,0.009283607825636864,-0.0002268701744954596,0.9956603646278381,5.339756243518486
13,attn.o_proj,0.0930606871843338,0.8593605952175472,0.19911418855190277,0.1987634003162384,-0.0017617440435337348,0.9955083131790161,5.432566581742873
