model,population,instrument,kappa,acc,rate_pred,fp_share,mae_per100,spearman_trial,kappa_ci_lo,kappa_ci_hi,n_rows_judged,n_trials_fully_judged
gemma,all,keyword,0.19559945531106582,0.735948275862069,0.9070689655172414,0.2536590001900779,19.612068965517242,0.9249143492703377,0.1782200119039089,0.21285789438264796,11600,116
gemma,all,classifier,0.9236908970116056,0.9683620689655172,0.7024137931034483,0.01644575355915562,1.1810344827586208,0.9956183620916174,0.9087122759841378,0.9369139574191224,11600,116
gemma,all,keyword_repaired,0.17403980400710395,0.6906896551724138,0.7975,0.24818938493135878,10.724137931034482,0.8727258954299844,0.14722687383202362,0.20081299330866867,11600,116
gemma,all,keyword_oracle_t,0.5666699526298287,0.8054310344827587,0.6208620689655172,0.08414329352957511,10.525862068965518,0.9653626183413707,0.5352186565973044,0.6001255538206383,11600,116
gemma,startup,keyword,0.1925521162105328,0.8378333333333333,0.9576666666666667,0.15297598329272538,13.083333333333334,0.8513067994686963,0.14746744181066432,0.22209864331357806,6000,60
gemma,startup,classifier,0.9094233170586465,0.9735,0.8173333333333334,0.010399673735725938,1.15,0.9822781559483365,0.8929609840196795,0.9260651583641256,6000,60
gemma,startup,keyword_repaired,0.1856496120812302,0.803,0.8948333333333334,0.1480722667163345,7.7,0.8511613627157717,0.1387647717661548,0.22286723673129435,6000,60
gemma,startup,keyword_oracle_t,0.6372424847959643,0.883,0.7715,0.03996543529920069,6.366666666666666,0.9213708575626498,0.5952470555649414,0.6751238013735577,6000,60
gemma,tpe,keyword,0.14937706260073158,0.6267857142857143,0.8528571428571429,0.37479061976549416,26.607142857142858,0.8134686273805984,0.12156746733259959,0.17567784039702022,5600,56
gemma,tpe,classifier,0.9236118179233117,0.9628571428571429,0.5792857142857143,0.025585696670776818,1.2142857142857142,0.996408312701305,0.9004111032141128,0.9446115334273427,5600,56
gemma,tpe,keyword_repaired,0.07893578308779092,0.5703571428571429,0.6932142857142857,0.3866563626996394,13.964285714285714,0.5956820751425261,0.03242768477697049,0.12475078846190005,5600,56
gemma,tpe,keyword_oracle_t,0.4523492256036926,0.7223214285714286,0.4594642857142857,0.16362223085891955,14.982142857142858,0.911815522654242,0.404085794658649,0.5025573675004651,5600,56
gams,all,keyword,0.5655586441762077,0.7935124321234639,0.6450414404115462,0.20646876384581303,6.7180375180375185,0.9649667062359484,0.5051726316475048,0.622075681187777,6998,70
gams,all,classifier,0.8014588069509685,0.9006859102600743,0.49871391826236067,0.012893982808022923,8.653391053391053,0.9822559565485783,0.7521643331907372,0.8410962502538961,6998,70
gams,all,keyword_repaired,0.6795505586113392,0.8430980280080023,0.5608745355815947,0.11821656050955413,4.639105339105339,0.9777079165715735,0.6162725658583195,0.7338719806037801,6998,70
gams,all,keyword_oracle_t,0.6550994120154316,0.8293798228065161,0.5311517576450414,0.10976594027441484,6.610533910533911,0.9704906275625503,0.593538160411585,0.707742986894268,6998,70
gams,startup,keyword,0.555144929629247,0.7979326442147382,0.679893297765922,0.18734673859735165,6.021043771043771,0.9637541992178524,0.49090977393061885,0.6183800251238268,5998,60
gams,startup,classifier,0.7879551448107945,0.8959653217739246,0.5368456152050683,0.012732919254658385,9.045622895622895,0.9823553644274267,0.7364803246147967,0.832303022964826,5998,60
gams,startup,keyword_repaired,0.664281191042265,0.8406135378459486,0.5991997332444148,0.10962715637173066,4.478956228956229,0.9781901794958615,0.5974964801626139,0.726917299362802,5998,60
gams,startup,keyword_oracle_t,0.6352259761477108,0.8239413137712571,0.5681893964654885,0.10299295774647887,6.812289562289562,0.9693996812732276,0.5684312458802411,0.6939082003105825,5998,60
gams,tpe,keyword,0.5131878050411178,0.767,0.436,0.3853211009174312,10.9,0.779199761307608,0.16836646812029624,0.687919364417939,1000,10
gams,tpe,classifier,0.8322226948343494,0.929,0.27,0.014814814814814815,6.3,0.9685290327486828,0.5830254002634941,0.9247348774737394,1000,10
gams,tpe,keyword_repaired,0.6798585966984854,0.858,0.331,0.21148036253776434,5.6,0.7877258683258747,0.33162029153376005,0.8285478803006527,1000,10
gams,tpe,keyword_oracle_t,0.6836357134014663,0.862,0.309,0.18446601941747573,5.4,0.7938799766721705,0.3305352425388556,0.830445915803631,1000,10
