trial,n,K,C,K_repaired,K_content_only,K_empty,C_trunc100,mean_tokens,share_truncated,J_n,J_ref,J_partial,J_complied,J_irrelevant,J_empty,J_malformed,J,n_judged,J_full,J_selection_point,J_posthoc_only,model,phase,sigma_K,K_oracle,sigma_K_repaired,sigma_K_oracle,gbf_i_C,K_journal,KL_journal,direction_scope,params_json,KL_replay,attn_cov0.10,attn_cov0.25,attn_cov0.50,attn_cov0.75,attn_mass,attn_energy,attn_centroid,attn_partic,attn_A1,attn_A2,mlp_cov0.10,mlp_cov0.25,mlp_cov0.50,mlp_cov0.75,mlp_mass,mlp_energy,mlp_centroid,mlp_partic,mlp_A1,mlp_A2,sum_cov0.10,sum_cov0.25,sum_cov0.50,sum_cov0.75,sum_mass,sum_energy,sum_centroid,sum_partic,sum_A1,sum_A2,mean_cos_in_support,run,in_paired_60,is_certification_trial,selected_by_K,selected_by_C,selected_by_J,K_replay_heretic
0,100,99,94,97,2,0,94,100.0,1.0,100.0,94.0,4.0,2.0,0.0,0.0,0.0,94.0,100.0,True,94.0,False,gemma,startup,0.99588436,93,1.6621345,2.5430748,0.0,99,0.0038859159685671,global,"{""attn.o_proj.max_weight"": 1.335652908640471, ""attn.o_proj.max_weight_position"": 37.69651585109827, ""attn.o_proj.min_weight"": 0.7109502662442033, ""attn.o_proj.min_weight_distance"": 9.111903269991311, ""direction_index"": 35.28625933815789, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.7424929048243758, ""mlp.down_proj.max_weight_position"": 28.434746118394052, ""mlp.down_proj.min_weight"": 0.07349923770273847, ""mlp.down_proj.min_weight_distance"": 3.964808604651576}",0.0043015261180698,18,18,18,18,20.609793235501822,16628471546.659306,37.5327239754276,17.83623079172396,15.095717978551791,7630949087.160675,8,6,2,0,3.1638385196413066,228217868.34864652,28.4427430927553,6.4442426328471285,1.6334492568705932,65108228.85309533,22,21,19,18,23.77363175514313,17399399993.500534,36.3230126466913,19.857432952977096,16.729167235422388,7907986782.0926895,0.6622533347375282,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
1,100,92,70,73,19,0,70,100.0,1.0,100.0,74.0,19.0,7.0,0.0,0.0,0.0,74.0,100.0,True,74.0,False,gemma,startup,2.7075107,57,4.4019837,4.908556,0.0,89,0.0057059731334447,per layer,"{""attn.o_proj.max_weight"": 1.1354815621704315, ""attn.o_proj.max_weight_position"": 34.62115535320629, ""attn.o_proj.min_weight"": 0.764242165311383, ""attn.o_proj.min_weight_distance"": 16.41921946254915, ""direction_index"": 28.453405052387367, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.3653741755405121, ""mlp.down_proj.max_weight_position"": 45.03475834526613, ""mlp.down_proj.min_weight"": 0.09070927458977673, ""mlp.down_proj.min_weight_distance"": 12.902326746679812}",0.0076755248010158,29,29,29,29,29.458442978304028,14197905765.658258,33.18773280504912,28.860591694635247,29.458442978304028,14197905765.658257,13,7,0,0,3.385039815801351,1072530678.9558712,41.83253506421893,12.606942314100031,3.385039815801351,1072530678.9558712,29,29,29,29,32.84348279410538,22250597926.68568,34.07871626226857,28.49185894902112,32.84348279410538,22250597926.68568,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
2,100,84,39,67,17,0,39,100.0,1.0,100.0,41.0,42.0,17.0,0.0,0.0,0.0,41.0,100.0,True,41.0,False,gemma,startup,3.649809,30,4.7891545,4.5270286,0.09375,80,0.0435309521853923,per layer,"{""attn.o_proj.max_weight"": 1.4775578331732049, ""attn.o_proj.max_weight_position"": 34.884543380195495, ""attn.o_proj.min_weight"": 0.6969754975189398, ""attn.o_proj.min_weight_distance"": 24.37281080763281, ""direction_index"": 34.71555615856434, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.006565274291605916, ""mlp.down_proj.max_weight_position"": 39.729108589729364, ""mlp.down_proj.min_weight"": 0.844673207795607, ""mlp.down_proj.min_weight_distance"": 27.95498704977974}",0.0467907562851905,37,37,37,37,47.74899123994185,25060436895.99324,29.748669670043324,36.665983155701866,47.74899123994184,25060436895.99324,0,0,0,0,0.2207157324173241,567264.7428089989,29.988605275623488,35.90996847736497,0.2207157324173241,567264.7428089989,37,37,37,37,47.96970697235918,25299246991.53153,29.74977364933069,36.66586042914874,47.96970697235916,25299246991.53153,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
3,100,99,97,96,3,0,97,100.0,1.0,100.0,97.0,1.0,2.0,0.0,0.0,0.0,97.0,100.0,True,97.0,False,gemma,startup,0.99588436,95,1.9792237,2.2197077,0.03389830508474576,99,0.0061843274161219,global,"{""attn.o_proj.max_weight"": 1.0453603630149255, ""attn.o_proj.max_weight_position"": 43.08811714273638, ""attn.o_proj.min_weight"": 0.025295045763543023, ""attn.o_proj.min_weight_distance"": 7.208090165205651, ""direction_index"": 26.71310013858545, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.4420294874368681, ""mlp.down_proj.max_weight_position"": 45.939562830681275, ""mlp.down_proj.min_weight"": 0.8599730716237928, ""mlp.down_proj.min_weight_distance"": 25.95947442584456}",0.0060077137313783,11,10,7,5,7.122913581431355,6485406855.433252,42.607768961441664,9.6808253176646,1.9292029552881915,421615277.4324138,28,28,0,0,11.540998890468988,2537544104.682658,33.87122489206866,27.94086084588317,5.546047353868321,302441281.9529226,28,28,11,9,18.663912471900343,16177594647.880306,37.20544800848119,21.52057582838504,7.475250309156514,1201460837.1548772,0.4876885420653901,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
4,100,90,63,65,25,0,63,100.0,1.0,100.0,64.0,24.0,12.0,0.0,0.0,0.0,64.0,100.0,True,64.0,False,gemma,startup,3.0135994,33,4.696165,4.6547503,0.013888888888888888,87,0.0232132021337747,per layer,"{""attn.o_proj.max_weight"": 1.1596435395178182, ""attn.o_proj.max_weight_position"": 37.001544310281716, ""attn.o_proj.min_weight"": 0.5936196427925672, ""attn.o_proj.min_weight_distance"": 24.971202538573625, ""direction_index"": 23.64189846648339, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.7501686670348249, ""mlp.down_proj.max_weight_position"": 31.002229609718214, ""mlp.down_proj.min_weight"": 0.8836282415397444, ""mlp.down_proj.min_weight_distance"": 5.157938515594083}",0.0267926361411809,35,35,35,32,33.88752925735045,15254530792.901922,31.13072367278321,34.37149048986517,33.88752925735045,15254530792.901922,11,11,11,1,7.744065637818802,1171220132.071022,31.000146187902413,10.983742712390857,7.744065637818802,1171220132.071022,35,35,35,32,41.63159489516926,19989396055.388924,31.10643441323684,31.46855742447296,41.63159489516926,19989396055.388924,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
5,100,98,92,97,1,0,92,100.0,1.0,100.0,92.0,6.0,2.0,0.0,0.0,0.0,92.0,100.0,True,92.0,False,gemma,startup,1.4164721,89,1.7113996,3.0735686,0.0,100,0.0017024590633809,per layer,"{""attn.o_proj.max_weight"": 1.4601656453219194, ""attn.o_proj.max_weight_position"": 33.82298020957671, ""attn.o_proj.min_weight"": 0.4071242335307148, ""attn.o_proj.min_weight_distance"": 8.121191221355227, ""direction_index"": 18.863406288820105, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": -0.19971559904867744, ""mlp.down_proj.max_weight_position"": 38.52685927279809, ""mlp.down_proj.min_weight"": 0.6640400492774723, ""mlp.down_proj.min_weight_distance"": 9.86309545749661}",0.0017074856441468,16,16,16,13,16.54042494429521,5948066904.4981785,33.63321566953142,15.138180131919798,16.54042494429521,5948066904.4981785,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,16,16,16,13,16.54042494429521,5948066904.4981785,33.63321566953142,15.138180131919798,16.54042494429521,5948066904.4981785,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
6,100,91,65,66,25,0,65,100.0,1.0,100.0,71.0,26.0,3.0,0.0,0.0,0.0,71.0,100.0,True,71.0,False,gemma,startup,2.7924016,56,4.7193365,4.8381124,0.027777777777777776,91,0.0160616114735603,global,"{""attn.o_proj.max_weight"": 1.2832623221092714, ""attn.o_proj.max_weight_position"": 34.28813205531377, ""attn.o_proj.min_weight"": 0.6920298921817408, ""attn.o_proj.min_weight_distance"": 19.32885295222423, ""direction_index"": 29.901351072329795, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.5596493700635686, ""mlp.down_proj.max_weight_position"": 28.40787547445878, ""mlp.down_proj.min_weight"": 0.7604160891076248, ""mlp.down_proj.min_weight_distance"": 26.952401878822062}",0.0150531390681862,33,33,33,33,36.56096508582683,17609766750.10106,31.49376334071682,32.68908552778984,17.94846509936435,3937368173.419463,46,46,24,0,23.036267878768484,3429169599.1225634,24.94200458839176,45.76726695721812,8.416458717570299,764486378.4726351,46,46,33,33,59.597232964595314,36566314662.12997,28.961295603745075,39.2846477576645,26.36492381693464,8168119901.769765,0.347910455226209,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
7,100,73,5,59,14,0,5,100.0,1.0,100.0,8.0,64.0,28.0,0.0,0.0,0.0,8.0,100.0,True,8.0,False,gemma,startup,4.323848,15,4.873895,3.4660695,0.09523809523809523,71,0.2608214914798736,per layer,"{""attn.o_proj.max_weight"": 1.3058603245031022, ""attn.o_proj.max_weight_position"": 29.356814435097565, ""attn.o_proj.min_weight"": 0.4259316201493918, ""attn.o_proj.min_weight_distance"": 18.9284332033305, ""direction_index"": 20.998510387591697, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.2306890494321627, ""mlp.down_proj.max_weight_position"": 31.39010548214005, ""mlp.down_proj.min_weight"": 0.4726418364688967, ""mlp.down_proj.min_weight_distance"": 16.34098984990031}",0.2583706974983215,37,37,37,28,34.757925592595825,10219913907.534046,29.13904659524229,35.21541009826653,34.757925592595825,10219913907.534044,32,32,32,24,29.214516019012137,9985537186.43243,31.461753390061865,30.76212750299185,29.214516019012137,9985537186.43243,37,37,37,32,63.97244161160796,40384498110.75232,30.199765135214545,33.66470784825742,63.97244161160796,40384498110.75232,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
8,100,99,95,98,1,0,95,100.0,1.0,100.0,96.0,2.0,2.0,0.0,0.0,0.0,96.0,100.0,True,96.0,False,gemma,startup,0.99588436,91,1.379874,2.8017259,0.0,99,0.0029953604098409,per layer,"{""attn.o_proj.max_weight"": 1.0409743294973834, ""attn.o_proj.max_weight_position"": 43.93091813775781, ""attn.o_proj.min_weight"": 0.8389928586602876, ""attn.o_proj.min_weight_distance"": 1.2604236952408097, ""direction_index"": 30.39539790086107, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.0276447640986017, ""mlp.down_proj.max_weight_position"": 44.8299102869405, ""mlp.down_proj.min_weight"": 0.3670353389460309, ""mlp.down_proj.min_weight_distance"": 10.863314402762901}",0.0025898593012243,3,3,3,3,2.8477877141053507,4319122433.790877,43.9935485844001,2.988519857090981,2.8477877141053507,4319122433.790877,14,14,11,7,10.33698849914565,9137440474.401714,41.57095830686435,13.00324924396833,10.33698849914565,9137440474.401714,14,14,11,7,13.184776213251002,22350224529.94848,42.0942150324312,10.559783090585986,13.184776213251002,22350224529.94848,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
9,100,99,96,97,2,0,96,100.0,1.0,100.0,96.0,1.0,3.0,0.0,0.0,0.0,96.0,100.0,True,96.0,False,gemma,startup,0.9933031,90,1.7304431,2.893423,0.017543859649122806,100,0.0035488177090883,per layer,"{""attn.o_proj.max_weight"": 0.974699802673833, ""attn.o_proj.max_weight_position"": 32.78000784494932, ""attn.o_proj.min_weight"": 0.07874977488223855, ""attn.o_proj.min_weight_distance"": 3.9242191064593097, ""direction_index"": 26.039046006841954, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.4307450670267685, ""mlp.down_proj.max_weight_position"": 39.25037951458715, ""mlp.down_proj.min_weight"": 0.48952950933232975, ""mlp.down_proj.min_weight_distance"": 11.632205261315393}",0.0029276115819811,8,6,4,2,4.13646783402878,699266172.6321737,32.747831078828135,6.348397412908146,4.13646783402878,699266172.6321735,20,18,0,0,6.667871882678147,1642441781.9246593,37.990545397207455,19.389730037200614,6.667871882678147,1642441781.9246588,20,19,7,5,10.804339716706927,3016055000.3305173,35.983359422904535,15.492492618038222,10.804339716706927,3016055000.3305173,1.0,art_0XmNBGkzsJc_ replay,True,False,False,False,False,
